@    title "Average distance"
@    xaxis  label "Time (ps)"
@    yaxis  label "Distance (nm)"
@TYPE xy
@ view 0.15, 0.15, 0.75, 0.85
@ legend on
@ legend box on
@ legend loctype view
@ legend 0.78, 0.8
@ legend length 2
@ s0 legend "a_443_460"
      0.000    0.390
    100.000    0.411
    200.000    0.410
    300.000    0.414
    400.000    0.414
    500.000    0.430
    600.000    0.391
    700.000    0.410
    800.000    0.374
    900.000    0.361
   1000.000    0.364
   1100.000    0.415
   1200.000    0.396
   1300.000    0.410
   1400.000    0.375
   1500.000    0.394
   1600.000    0.392
   1700.000    0.401
   1800.000    0.412
   1900.000    0.414
   2000.000    0.379
   2100.000    0.404
   2200.000    0.411
   2300.000    0.397
   2400.000    0.428
   2500.000    0.425
   2600.000    0.361
   2700.000    0.399
   2800.000    0.402
   2900.000    0.391
   3000.000    0.401
   3100.000    0.371
   3200.000    0.401
   3300.000    0.399
   3400.000    0.376
   3500.000    0.375
   3600.000    0.383
   3700.000    0.387
   3800.000    0.364
   3900.000    0.383
   4000.000    0.359
   4100.000    0.375
   4200.000    0.378
   4300.000    0.394
   4400.000    0.376
   4500.000    0.375
   4600.000    0.381
   4700.000    0.365
   4800.000    0.374
   4900.000    0.399
   5000.000    0.359
   5100.000    0.380
   5200.000    0.362
   5300.000    0.384
   5400.000    0.356
   5500.000    0.405
   5600.000    0.408
   5700.000    0.388
   5800.000    0.376
   5900.000    0.407
   6000.000    0.351
   6100.000    0.372
   6200.000    0.405
   6300.000    0.394
   6400.000    0.378
   6500.000    0.385
   6600.000    0.358
   6700.000    0.399
   6800.000    0.374
   6900.000    0.361
   7000.000    0.412
   7100.000    0.388
   7200.000    0.364
   7300.000    0.418
   7400.000    0.391
   7500.000    0.388
   7600.000    0.387
   7700.000    0.403
   7800.000    0.398
   7900.000    0.379
   8000.000    0.375
   8100.000    0.378
   8200.000    0.398
   8300.000    0.374
   8400.000    0.373
   8500.000    0.404
   8600.000    0.377
   8700.000    0.401
   8800.000    0.386
   8900.000    0.365
   9000.000    0.387
   9100.000    0.372
   9200.000    0.380
   9300.000    0.363
   9400.000    0.378
   9500.000    0.391
   9600.000    0.385
   9700.000    0.356
   9800.000    0.371
   9900.000    0.379
  10000.000    0.355
  10100.000    0.360
  10200.000    0.386
  10300.000    0.388
  10400.000    0.397
  10500.000    0.369
  10600.000    0.385
  10700.000    0.372
  10800.000    0.422
  10900.000    0.379
  11000.000    0.369
  11100.000    0.392
  11200.000    0.396
  11300.000    0.372
  11400.000    0.383
  11500.000    0.371
  11600.000    0.398
  11700.000    0.380
  11800.000    0.368
  11900.000    0.392
  12000.000    0.360
  12100.000    0.379
  12200.000    0.379
  12300.000    0.361
  12400.000    0.377
  12500.000    0.383
  12600.000    0.375
  12700.000    0.384
  12800.000    0.409
  12900.000    0.422
  13000.000    0.396
  13100.000    0.369
  13200.000    0.372
  13300.000    0.384
  13400.000    0.395
  13500.000    0.386
  13600.000    0.398
  13700.000    0.365
  13800.000    0.370
  13900.000    0.379
  14000.000    0.407
  14100.000    0.391
  14200.000    0.382
  14300.000    0.374
  14400.000    0.392
  14500.000    0.354
  14600.000    0.379
  14700.000    0.398
  14800.000    0.372
  14900.000    0.404
  15000.000    0.370
  15100.000    0.411
  15200.000    0.387
  15300.000    0.371
  15400.000    0.379
  15500.000    0.364
  15600.000    0.391
  15700.000    0.371
  15800.000    0.376
  15900.000    0.393
  16000.000    0.374
  16100.000    0.375
  16200.000    0.408
  16300.000    0.393
  16400.000    0.370
  16500.000    0.370
  16600.000    0.382
  16700.000    0.368
  16800.000    0.400
  16900.000    0.366
  17000.000    0.355
  17100.000    0.402
  17200.000    0.361
  17300.000    0.389
  17400.000    0.378
  17500.000    0.391
  17600.000    0.380
  17700.000    0.375
  17800.000    0.398
  17900.000    0.368
  18000.000    0.385
  18100.000    0.387
  18200.000    0.377
  18300.000    0.392
  18400.000    0.397
  18500.000    0.378
  18600.000    0.396
  18700.000    0.362
  18800.000    0.386
  18900.000    0.377
  19000.000    0.390
  19100.000    0.375
  19200.000    0.390
  19300.000    0.377
  19400.000    0.362
  19500.000    0.405
  19600.000    0.384
  19700.000    0.383
  19800.000    0.368
  19900.000    0.384
  20000.000    0.378
  20100.000    0.376
  20200.000    0.372
  20300.000    0.381
  20400.000    0.381
  20500.000    0.410
  20600.000    0.361
  20700.000    0.393
  20800.000    0.365
  20900.000    0.393
  21000.000    0.395
  21100.000    0.397
  21200.000    0.343
  21300.000    0.379
  21400.000    0.371
  21500.000    0.379
  21600.000    0.397
  21700.000    0.390
  21800.000    0.370
  21900.000    0.362
  22000.000    0.374
  22100.000    0.390
  22200.000    0.388
  22300.000    0.390
  22400.000    0.381
  22500.000    0.385
  22600.000    0.387
  22700.000    0.386
  22800.000    0.360
  22900.000    0.385
  23000.000    0.369
  23100.000    0.369
  23200.000    0.374
  23300.000    0.375
  23400.000    0.396
  23500.000    0.374
  23600.000    0.389
  23700.000    0.407
  23800.000    0.387
  23900.000    0.366
  24000.000    0.367
  24100.000    0.368
  24200.000    0.371
  24300.000    0.376
  24400.000    0.386
