@    title "Average distance"
@    xaxis  label "Time (ps)"
@    yaxis  label "Distance (nm)"
@TYPE xy
@ view 0.15, 0.15, 0.75, 0.85
@ legend on
@ legend box on
@ legend loctype view
@ legend 0.78, 0.8
@ legend length 2
@ s0 legend "a_443_455"
      0.000    0.488
    100.000    0.465
    200.000    0.504
    300.000    0.482
    400.000    0.436
    500.000    0.475
    600.000    0.484
    700.000    0.465
    800.000    0.463
    900.000    0.480
   1000.000    0.476
   1100.000    0.488
   1200.000    0.486
   1300.000    0.468
   1400.000    0.480
   1500.000    0.458
   1600.000    0.484
   1700.000    0.454
   1800.000    0.445
   1900.000    0.490
   2000.000    0.477
   2100.000    0.480
   2200.000    0.494
   2300.000    0.489
   2400.000    0.494
   2500.000    0.477
   2600.000    0.490
   2700.000    0.448
   2800.000    0.488
   2900.000    0.465
   3000.000    0.478
   3100.000    0.467
   3200.000    0.475
   3300.000    0.485
   3400.000    0.455
   3500.000    0.455
   3600.000    0.458
   3700.000    0.503
   3800.000    0.475
   3900.000    0.468
   4000.000    0.477
   4100.000    0.461
   4200.000    0.491
   4300.000    0.509
   4400.000    0.476
   4500.000    0.463
   4600.000    0.465
   4700.000    0.468
   4800.000    0.442
   4900.000    0.458
   5000.000    0.481
   5100.000    0.436
   5200.000    0.450
   5300.000    0.468
   5400.000    0.441
   5500.000    0.437
   5600.000    0.463
   5700.000    0.460
   5800.000    0.454
   5900.000    0.487
   6000.000    0.481
   6100.000    0.495
   6200.000    0.438
   6300.000    0.468
   6400.000    0.489
   6500.000    0.453
   6600.000    0.491
   6700.000    0.480
   6800.000    0.478
   6900.000    0.487
   7000.000    0.504
   7100.000    0.473
   7200.000    0.473
   7300.000    0.486
   7400.000    0.493
   7500.000    0.461
   7600.000    0.449
   7700.000    0.500
   7800.000    0.464
   7900.000    0.474
   8000.000    0.480
   8100.000    0.449
   8200.000    0.476
   8300.000    0.474
   8400.000    0.493
   8500.000    0.509
   8600.000    0.463
   8700.000    0.498
   8800.000    0.495
   8900.000    0.487
   9000.000    0.471
   9100.000    0.488
   9200.000    0.476
   9300.000    0.471
   9400.000    0.450
   9500.000    0.469
   9600.000    0.473
   9700.000    0.463
   9800.000    0.481
   9900.000    0.465
  10000.000    0.489
  10100.000    0.522
  10200.000    0.488
  10300.000    0.477
  10400.000    0.474
  10500.000    0.472
  10600.000    0.495
  10700.000    0.485
  10800.000    0.466
  10900.000    0.486
  11000.000    0.467
  11100.000    0.495
  11200.000    0.460
  11300.000    0.458
  11400.000    0.473
  11500.000    0.471
  11600.000    0.431
  11700.000    0.499
  11800.000    0.483
  11900.000    0.469
  12000.000    0.451
  12100.000    0.458
  12200.000    0.470
  12300.000    0.481
  12400.000    0.479
  12500.000    0.491
  12600.000    0.446
  12700.000    0.480
  12800.000    0.517
  12900.000    0.459
  13000.000    0.481
  13100.000    0.462
  13200.000    0.469
  13300.000    0.452
  13400.000    0.500
  13500.000    0.469
  13600.000    0.458
  13700.000    0.475
  13800.000    0.493
  13900.000    0.482
  14000.000    0.447
  14100.000    0.459
  14200.000    0.502
  14300.000    0.437
  14400.000    0.460
  14500.000    0.476
  14600.000    0.460
  14700.000    0.509
  14800.000    0.499
  14900.000    0.507
  15000.000    0.458
  15100.000    0.472
  15200.000    0.456
  15300.000    0.502
  15400.000    0.449
  15500.000    0.485
  15600.000    0.489
  15700.000    0.487
  15800.000    0.492
  15900.000    0.498
  16000.000    0.488
  16100.000    0.479
  16200.000    0.491
  16300.000    0.450
  16400.000    0.468
  16500.000    0.470
  16600.000    0.496
  16700.000    0.498
  16800.000    0.479
  16900.000    0.497
  17000.000    0.453
  17100.000    0.464
  17200.000    0.464
  17300.000    0.492
  17400.000    0.477
  17500.000    0.494
  17600.000    0.502
  17700.000    0.471
  17800.000    0.461
  17900.000    0.497
  18000.000    0.484
  18100.000    0.480
  18200.000    0.475
  18300.000    0.505
  18400.000    0.472
  18500.000    0.480
  18600.000    0.496
  18700.000    0.463
  18800.000    0.480
  18900.000    0.474
  19000.000    0.466
  19100.000    0.472
  19200.000    0.480
  19300.000    0.476
  19400.000    0.490
  19500.000    0.482
  19600.000    0.469
  19700.000    0.469
  19800.000    0.478
  19900.000    0.454
  20000.000    0.476
  20100.000    0.469
  20200.000    0.495
  20300.000    0.463
  20400.000    0.494
  20500.000    0.501
  20600.000    0.463
  20700.000    0.473
  20800.000    0.482
  20900.000    0.501
  21000.000    0.521
  21100.000    0.422
  21200.000    0.456
  21300.000    0.495
  21400.000    0.477
  21500.000    0.480
  21600.000    0.459
  21700.000    0.505
  21800.000    0.491
  21900.000    0.486
  22000.000    0.482
  22100.000    0.472
  22200.000    0.469
  22300.000    0.482
  22400.000    0.518
  22500.000    0.446
  22600.000    0.462
  22700.000    0.515
  22800.000    0.472
  22900.000    0.473
  23000.000    0.467
  23100.000    0.447
  23200.000    0.492
  23300.000    0.455
  23400.000    0.458
  23500.000    0.492
  23600.000    0.495
  23700.000    0.443
  23800.000    0.494
  23900.000    0.483
  24000.000    0.460
  24100.000    0.482
  24200.000    0.436
  24300.000    0.473
  24400.000    0.496
