@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0445335
 100.0000000    0.1560217
 200.0000000    0.1611718
 300.0000000    0.2099250
 400.0000000    0.2051263
 500.0000000    0.2055163
 600.0000000    0.1803726
 700.0000000    0.2116510
 800.0000000    0.2094588
 900.0000000    0.2642590
1000.0000000    0.1791695
1100.0000000    0.2056805
1200.0000000    0.1933822
1300.0000000    0.2142274
1400.0000000    0.2705396
1500.0000000    0.1657124
1600.0000000    0.2550662
1700.0000000    0.1778075
1800.0000000    0.2042838
1900.0000000    0.1856615
2000.0000000    0.2079176
2100.0000000    0.2094877
2200.0000000    0.2113099
2300.0000000    0.2341327
2400.0000000    0.1691616
2500.0000000    0.1832374
2600.0000000    0.2459662
2700.0000000    0.2376805
2800.0000000    0.2347298
2900.0000000    0.2331402
3000.0000000    0.2064654
3100.0000000    0.2355101
3200.0000000    0.2126742
3300.0000000    0.1809936
3400.0000000    0.1998430
3500.0000000    0.2526223
3600.0000000    0.2384322
3700.0000000    0.2112360
3800.0000000    0.3000604
3900.0000000    0.2051308
4000.0000000    0.2248239
4100.0000000    0.2319068
4200.0000000    0.2115538
4300.0000000    0.1642261
4400.0000000    0.1945455
4500.0000000    0.2103343
4600.0000000    0.1807031
4700.0000000    0.1753727
4800.0000000    0.2002551
4900.0000000    0.1787464
5000.0000000    0.2065345
5100.0000000    0.1820637
5200.0000000    0.1591684
5300.0000000    0.1735818
5400.0000000    0.2094477
5500.0000000    0.2261874
5600.0000000    0.2561668
5700.0000000    0.3231492
5800.0000000    0.2337996
5900.0000000    0.2354026
6000.0000000    0.2235130
6100.0000000    0.2744627
6200.0000000    0.2485121
6300.0000000    0.2603089
6400.0000000    0.2254691
6500.0000000    0.1828851
6600.0000000    0.2677644
6700.0000000    0.1808932
6800.0000000    0.2018295
6900.0000000    0.1618269
7000.0000000    0.1441499
7100.0000000    0.1868559
7200.0000000    0.1625302
7300.0000000    0.2173362
7400.0000000    0.2093935
7500.0000000    0.2660904
7600.0000000    0.1924653
7700.0000000    0.1827908
7800.0000000    0.2017372
7900.0000000    0.1776078
8000.0000000    0.2513050
8100.0000000    0.1678421
8200.0000000    0.2053284
8300.0000000    0.1780774
8400.0000000    0.2051458
8500.0000000    0.2241518
8600.0000000    0.2474593
8700.0000000    0.2263417
8800.0000000    0.1999431
8900.0000000    0.2752782
9000.0000000    0.2310885
9100.0000000    0.2060787
9200.0000000    0.1951427
9300.0000000    0.1719381
9400.0000000    0.2198383
9500.0000000    0.1972456
9600.0000000    0.1915032
9700.0000000    0.2148048
9800.0000000    0.2633721
9900.0000000    0.2335323
10000.0000000    0.1949278
10100.0000000    0.1731165
10200.0000000    0.1992650
10300.0000000    0.2011621
10400.0000000    0.2288198
10500.0000000    0.2250987
10600.0000000    0.2640374
10700.0000000    0.3231654
10800.0000000    0.2117293
10900.0000000    0.2069396
11000.0000000    0.2401228
11100.0000000    0.1841283
11200.0000000    0.1742748
11300.0000000    0.2137764
11400.0000000    0.1950045
11500.0000000    0.2320062
11600.0000000    0.2635644
11700.0000000    0.1868163
11800.0000000    0.2074903
11900.0000000    0.2130875
12000.0000000    0.2420181
12100.0000000    0.1888892
12200.0000000    0.2000798
12300.0000000    0.1530194
12400.0000000    0.1786895
12500.0000000    0.2699860
12600.0000000    0.2018397
12700.0000000    0.1992724
12800.0000000    0.1607869
12900.0000000    0.2294017
13000.0000000    0.1474140
13100.0000000    0.1967631
13200.0000000    0.1948060
13300.0000000    0.2428729
13400.0000000    0.2059682
13500.0000000    0.1430250
13600.0000000    0.1614675
13700.0000000    0.1739094
13800.0000000    0.2326367
13900.0000000    0.2295090
14000.0000000    0.2120626
14100.0000000    0.2322910
14200.0000000    0.1646083
14300.0000000    0.1932798
14400.0000000    0.2200280
14500.0000000    0.2144913
14600.0000000    0.2575133
14700.0000000    0.1997115
14800.0000000    0.2480544
14900.0000000    0.1702978
15000.0000000    0.2299896
15100.0000000    0.1780545
15200.0000000    0.1939786
15300.0000000    0.2259125
15400.0000000    0.2106490
15500.0000000    0.2582622
15600.0000000    0.2350185
15700.0000000    0.2189631
15800.0000000    0.2600735
15900.0000000    0.3292621
16000.0000000    0.2854760
16100.0000000    0.3125698
16200.0000000    0.2981365
16300.0000000    0.2409648
16400.0000000    0.2141097
16500.0000000    0.3207322
16600.0000000    0.2953933
16700.0000000    0.2321901
16800.0000000    0.2507272
16900.0000000    0.2526462
17000.0000000    0.2324412
17100.0000000    0.2024937
17200.0000000    0.2155038
17300.0000000    0.2284833
17400.0000000    0.1973995
17500.0000000    0.2160247
17600.0000000    0.1952050
17700.0000000    0.2522499
17800.0000000    0.2048776
17900.0000000    0.2116497
18000.0000000    0.2127006
18100.0000000    0.2200954
