@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0459564
 100.0000000    0.1388893
 200.0000000    0.1433517
 300.0000000    0.3178111
 400.0000000    0.2983102
 500.0000000    0.1919489
 600.0000000    0.2457479
 700.0000000    0.2549718
 800.0000000    0.1973048
 900.0000000    0.2800079
1000.0000000    0.2220657
1100.0000000    0.2836507
1200.0000000    0.2178733
1300.0000000    0.2868413
1400.0000000    0.2749840
1500.0000000    0.3809477
1600.0000000    0.2917865
1700.0000000    0.2907917
1800.0000000    0.2475251
1900.0000000    0.3046844
2000.0000000    0.2034371
2100.0000000    0.2112842
2200.0000000    0.2240691
2300.0000000    0.2598133
2400.0000000    0.2475617
2500.0000000    0.2750448
2600.0000000    0.2242013
2700.0000000    0.2746877
2800.0000000    0.2817464
2900.0000000    0.2611422
3000.0000000    0.2397489
3100.0000000    0.2216857
3200.0000000    0.2656566
3300.0000000    0.2746293
3400.0000000    0.2522814
3500.0000000    0.2899199
3600.0000000    0.3907194
3700.0000000    0.3209312
3800.0000000    0.3350682
3900.0000000    0.2384510
4000.0000000    0.2534060
4100.0000000    0.2791024
4200.0000000    0.2606373
4300.0000000    0.2172936
4400.0000000    0.2507279
4500.0000000    0.2648256
4600.0000000    0.1947858
4700.0000000    0.2636534
4800.0000000    0.2294544
4900.0000000    0.2928712
5000.0000000    0.2693857
5100.0000000    0.2908534
5200.0000000    0.2652812
5300.0000000    0.2381762
5400.0000000    0.2698480
5500.0000000    0.2400974
5600.0000000    0.2300394
5700.0000000    0.2926513
5800.0000000    0.2459226
5900.0000000    0.2790729
6000.0000000    0.2854481
6100.0000000    0.2496777
6200.0000000    0.2662336
6300.0000000    0.3047427
6400.0000000    0.2619825
6500.0000000    0.2756494
6600.0000000    0.2927339
6700.0000000    0.2310702
6800.0000000    0.2002064
6900.0000000    0.2404214
7000.0000000    0.2293489
7100.0000000    0.2313458
7200.0000000    0.2488596
7300.0000000    0.2426674
7400.0000000    0.2319024
7500.0000000    0.1821149
7600.0000000    0.2131693
7700.0000000    0.2881918
7800.0000000    0.1859807
7900.0000000    0.1829467
8000.0000000    0.2823774
8100.0000000    0.2809745
8200.0000000    0.2637669
8300.0000000    0.2995596
8400.0000000    0.2297564
8500.0000000    0.2242150
8600.0000000    0.2018450
8700.0000000    0.1929692
8800.0000000    0.3048113
8900.0000000    0.2150320
9000.0000000    0.2193953
9100.0000000    0.2425218
9200.0000000    0.2564580
9300.0000000    0.2700643
9400.0000000    0.2265848
9500.0000000    0.2897928
9600.0000000    0.2856182
9700.0000000    0.2063766
9800.0000000    0.2136550
9900.0000000    0.2709792
10000.0000000    0.2744389
10100.0000000    0.1768732
10200.0000000    0.1600655
10300.0000000    0.1860983
10400.0000000    0.2180941
10500.0000000    0.1794621
10600.0000000    0.2020932
10700.0000000    0.2146153
10800.0000000    0.2977738
10900.0000000    0.2005987
11000.0000000    0.2042898
11100.0000000    0.1869641
11200.0000000    0.2644430
11300.0000000    0.2416626
11400.0000000    0.2264234
11500.0000000    0.2631774
11600.0000000    0.2496265
11700.0000000    0.2613461
11800.0000000    0.3010046
11900.0000000    0.2965609
12000.0000000    0.2844504
12100.0000000    0.2635667
12200.0000000    0.2256755
12300.0000000    0.2023744
12400.0000000    0.2565809
12500.0000000    0.2741840
12600.0000000    0.2849170
12700.0000000    0.3129687
12800.0000000    0.2388808
12900.0000000    0.2240774
13000.0000000    0.2374450
13100.0000000    0.2044827
13200.0000000    0.2395798
13300.0000000    0.2514883
13400.0000000    0.2782792
13500.0000000    0.2462464
13600.0000000    0.2488759
13700.0000000    0.2420463
13800.0000000    0.2335567
13900.0000000    0.2801054
14000.0000000    0.2306989
14100.0000000    0.2370322
14200.0000000    0.2613729
14300.0000000    0.2324497
14400.0000000    0.2555054
14500.0000000    0.2326739
14600.0000000    0.2564699
14700.0000000    0.2340603
14800.0000000    0.2804167
14900.0000000    0.2427972
15000.0000000    0.2415968
15100.0000000    0.2496146
15200.0000000    0.2231895
15300.0000000    0.2056331
15400.0000000    0.2626670
15500.0000000    0.2664413
15600.0000000    0.2247577
15700.0000000    0.2383514
15800.0000000    0.2331342
15900.0000000    0.1950690
16000.0000000    0.1802761
16100.0000000    0.2959765
16200.0000000    0.2560305
16300.0000000    0.2494964
16400.0000000    0.3404207
16500.0000000    0.2924255
16600.0000000    0.1972554
16700.0000000    0.1964040
16800.0000000    0.1962236
16900.0000000    0.2357870
17000.0000000    0.2135723
17100.0000000    0.2411495
17200.0000000    0.2545488
17300.0000000    0.2455564
17400.0000000    0.2012374
17500.0000000    0.2417803
17600.0000000    0.2411364
17700.0000000    0.2620676
17800.0000000    0.2722003
17900.0000000    0.2261423
18000.0000000    0.2380442
18100.0000000    0.3104899
