@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0508451
 100.0000000    0.1669534
 200.0000000    0.2240302
 300.0000000    0.1874085
 400.0000000    0.1355957
 500.0000000    0.2474389
 600.0000000    0.2060150
 700.0000000    0.2114698
 800.0000000    0.1428970
 900.0000000    0.2308521
1000.0000000    0.1990251
1100.0000000    0.2203530
1200.0000000    0.2119053
1300.0000000    0.2541536
1400.0000000    0.2172990
1500.0000000    0.2057349
1600.0000000    0.2643554
1700.0000000    0.2315615
1800.0000000    0.2042333
1900.0000000    0.2017031
2000.0000000    0.1938588
2100.0000000    0.1798212
2200.0000000    0.2423030
2300.0000000    0.2265766
2400.0000000    0.2060587
2500.0000000    0.2135251
2600.0000000    0.2455001
2700.0000000    0.2044149
2800.0000000    0.2148659
2900.0000000    0.1984621
3000.0000000    0.1641991
3100.0000000    0.1462671
3200.0000000    0.2236693
3300.0000000    0.1829349
3400.0000000    0.2120093
3500.0000000    0.1823785
3600.0000000    0.2088494
3700.0000000    0.2141975
3800.0000000    0.1836992
3900.0000000    0.1349529
4000.0000000    0.2264450
4100.0000000    0.1751181
4200.0000000    0.2013622
4300.0000000    0.1743873
4400.0000000    0.2101121
4500.0000000    0.1933545
4600.0000000    0.1989595
4700.0000000    0.2230233
4800.0000000    0.1926814
4900.0000000    0.2162192
5000.0000000    0.2217017
5100.0000000    0.2028212
5200.0000000    0.2767890
5300.0000000    0.2213079
5400.0000000    0.1847981
5500.0000000    0.2007755
5600.0000000    0.1981830
5700.0000000    0.2219235
5800.0000000    0.2360295
5900.0000000    0.2537496
6000.0000000    0.2480727
6100.0000000    0.2135999
6200.0000000    0.3141052
6300.0000000    0.2464080
6400.0000000    0.1991090
6500.0000000    0.2707488
6600.0000000    0.2672624
6700.0000000    0.2639721
6800.0000000    0.2615477
6900.0000000    0.2353244
7000.0000000    0.2208885
7100.0000000    0.2762643
7200.0000000    0.2901902
7300.0000000    0.2715629
7400.0000000    0.2480059
7500.0000000    0.2544726
7600.0000000    0.2173491
7700.0000000    0.2513340
7800.0000000    0.2752019
7900.0000000    0.2491841
8000.0000000    0.2424008
8100.0000000    0.2234934
8200.0000000    0.2026822
8300.0000000    0.2196604
8400.0000000    0.2393142
8500.0000000    0.2540547
8600.0000000    0.2733706
8700.0000000    0.2586828
8800.0000000    0.2959686
8900.0000000    0.2732334
9000.0000000    0.3028554
9100.0000000    0.2413667
9200.0000000    0.1820327
9300.0000000    0.2746899
9400.0000000    0.2079616
9500.0000000    0.2872218
9600.0000000    0.1964122
9700.0000000    0.2237539
9800.0000000    0.1951349
9900.0000000    0.2488956
10000.0000000    0.2241217
10100.0000000    0.2437735
10200.0000000    0.2685773
10300.0000000    0.2719761
10400.0000000    0.1918924
10500.0000000    0.2003760
10600.0000000    0.2040500
10700.0000000    0.2102613
10800.0000000    0.2020363
10900.0000000    0.2772892
11000.0000000    0.2527847
11100.0000000    0.2373584
11200.0000000    0.2434206
11300.0000000    0.1981469
11400.0000000    0.2772521
11500.0000000    0.1835161
11600.0000000    0.2642644
11700.0000000    0.2651886
11800.0000000    0.2464169
11900.0000000    0.2292898
12000.0000000    0.2832300
12100.0000000    0.2796322
12200.0000000    0.1876632
12300.0000000    0.1771252
12400.0000000    0.2149820
12500.0000000    0.2117758
12600.0000000    0.1930169
12700.0000000    0.1726299
12800.0000000    0.2192987
12900.0000000    0.2142704
13000.0000000    0.2863760
13100.0000000    0.1908222
13200.0000000    0.2015620
13300.0000000    0.1678956
13400.0000000    0.2366236
13500.0000000    0.2074494
13600.0000000    0.2204405
13700.0000000    0.2047309
13800.0000000    0.2418157
13900.0000000    0.1895673
14000.0000000    0.2342200
14100.0000000    0.1863330
14200.0000000    0.2267494
14300.0000000    0.1933009
14400.0000000    0.2388346
14500.0000000    0.1217114
14600.0000000    0.1669838
14700.0000000    0.2122935
14800.0000000    0.2251967
14900.0000000    0.1813576
15000.0000000    0.1861159
15100.0000000    0.2612813
15200.0000000    0.2264173
15300.0000000    0.1747755
15400.0000000    0.1649772
15500.0000000    0.2001114
15600.0000000    0.2160150
15700.0000000    0.2254894
15800.0000000    0.1905236
15900.0000000    0.2523946
16000.0000000    0.2097096
16100.0000000    0.2368490
16200.0000000    0.2842315
16300.0000000    0.2282373
16400.0000000    0.2936335
16500.0000000    0.2562329
16600.0000000    0.2138544
16700.0000000    0.2470421
16800.0000000    0.2319430
16900.0000000    0.1739639
17000.0000000    0.2337303
17100.0000000    0.1757183
17200.0000000    0.2846140
17300.0000000    0.1822030
17400.0000000    0.1595797
17500.0000000    0.1876876
17600.0000000    0.2491834
17700.0000000    0.2243892
17800.0000000    0.1566832
17900.0000000    0.1932557
18000.0000000    0.2151083
18100.0000000    0.2761309
