@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0333830
 100.0000000    0.1173357
 200.0000000    0.1870703
 300.0000000    0.1318570
 400.0000000    0.1825125
 500.0000000    0.1820776
 600.0000000    0.1841114
 700.0000000    0.2045230
 800.0000000    0.1840435
 900.0000000    0.1729874
1000.0000000    0.2583099
1100.0000000    0.2583528
1200.0000000    0.2120159
1300.0000000    0.1802311
1400.0000000    0.2571991
1500.0000000    0.1816165
1600.0000000    0.1728989
1700.0000000    0.1555410
1800.0000000    0.1945157
1900.0000000    0.1735709
2000.0000000    0.1829936
2100.0000000    0.2168017
2200.0000000    0.2324040
2300.0000000    0.1808749
2400.0000000    0.2097905
2500.0000000    0.2208268
2600.0000000    0.2148630
2700.0000000    0.1823153
2800.0000000    0.1780167
2900.0000000    0.2252088
3000.0000000    0.1658073
3100.0000000    0.1967537
3200.0000000    0.1769070
3300.0000000    0.2108212
3400.0000000    0.1780527
3500.0000000    0.1785773
3600.0000000    0.2327861
3700.0000000    0.1777037
3800.0000000    0.1944211
3900.0000000    0.1747099
4000.0000000    0.1767326
4100.0000000    0.1873918
4200.0000000    0.1809154
4300.0000000    0.2081815
4400.0000000    0.2208270
4500.0000000    0.2710837
4600.0000000    0.1903385
4700.0000000    0.1936436
4800.0000000    0.1814115
4900.0000000    0.2002442
5000.0000000    0.1892053
5100.0000000    0.1915688
5200.0000000    0.2011671
5300.0000000    0.1712726
5400.0000000    0.2169382
5500.0000000    0.2262942
5600.0000000    0.2173781
5700.0000000    0.2230625
5800.0000000    0.1774024
5900.0000000    0.1593326
6000.0000000    0.1580777
6100.0000000    0.1913424
6200.0000000    0.2178534
6300.0000000    0.2066188
6400.0000000    0.1873947
6500.0000000    0.1962052
6600.0000000    0.1753042
6700.0000000    0.2086916
6800.0000000    0.2093896
6900.0000000    0.1711880
7000.0000000    0.2288449
7100.0000000    0.2356147
7200.0000000    0.2366685
7300.0000000    0.2103262
7400.0000000    0.1808462
7500.0000000    0.1675049
7600.0000000    0.1827430
7700.0000000    0.2077658
7800.0000000    0.1865961
7900.0000000    0.1831903
8000.0000000    0.2092413
8100.0000000    0.2116266
8200.0000000    0.1879467
8300.0000000    0.1574479
8400.0000000    0.1566791
8500.0000000    0.1879672
8600.0000000    0.1879903
8700.0000000    0.2022520
8800.0000000    0.2179172
8900.0000000    0.1851046
9000.0000000    0.1775025
9100.0000000    0.1783187
9200.0000000    0.1888054
9300.0000000    0.1654448
9400.0000000    0.1714270
9500.0000000    0.1768265
9600.0000000    0.1220188
9700.0000000    0.1956146
9800.0000000    0.1806052
9900.0000000    0.1477026
10000.0000000    0.2074649
10100.0000000    0.1961461
10200.0000000    0.2013219
10300.0000000    0.1733918
10400.0000000    0.1428894
10500.0000000    0.2444290
10600.0000000    0.2522547
10700.0000000    0.2130391
10800.0000000    0.2340217
10900.0000000    0.2216598
11000.0000000    0.2031460
11100.0000000    0.1798609
11200.0000000    0.1946760
11300.0000000    0.2303603
11400.0000000    0.2033782
11500.0000000    0.2328983
11600.0000000    0.2161274
11700.0000000    0.2570139
11800.0000000    0.1707284
11900.0000000    0.1927857
12000.0000000    0.2091074
12100.0000000    0.2492521
12200.0000000    0.2429698
12300.0000000    0.1783491
12400.0000000    0.1712035
12500.0000000    0.1986520
12600.0000000    0.1848616
12700.0000000    0.2057797
12800.0000000    0.1812292
12900.0000000    0.1458102
13000.0000000    0.2252342
13100.0000000    0.1696977
13200.0000000    0.2143769
13300.0000000    0.2130862
13400.0000000    0.1814445
13500.0000000    0.1664974
13600.0000000    0.1591702
13700.0000000    0.1751045
13800.0000000    0.1833126
13900.0000000    0.1511817
14000.0000000    0.2212148
14100.0000000    0.2265134
14200.0000000    0.2589739
14300.0000000    0.2146870
14400.0000000    0.2370271
14500.0000000    0.2644982
14600.0000000    0.2283538
14700.0000000    0.2470855
14800.0000000    0.1950161
14900.0000000    0.2310739
15000.0000000    0.2501911
15100.0000000    0.1898400
15200.0000000    0.1814923
15300.0000000    0.1413817
15400.0000000    0.1814578
15500.0000000    0.1992318
15600.0000000    0.1965810
15700.0000000    0.1659483
15800.0000000    0.1772893
15900.0000000    0.2263427
16000.0000000    0.2647879
16100.0000000    0.2063375
16200.0000000    0.2132709
16300.0000000    0.1807040
16400.0000000    0.2398582
16500.0000000    0.1904537
16600.0000000    0.2321912
16700.0000000    0.2129790
16800.0000000    0.1839025
16900.0000000    0.2037798
17000.0000000    0.2763542
17100.0000000    0.3132171
17200.0000000    0.3195230
17300.0000000    0.3372234
17400.0000000    0.2860908
17500.0000000    0.2699955
17600.0000000    0.2607849
17700.0000000    0.2513648
17800.0000000    0.3059613
17900.0000000    0.2633232
18000.0000000    0.3521989
18100.0000000    0.3502149
