@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.2265631
 100.0000000    0.2066306
 200.0000000    0.2071604
 300.0000000    0.2113984
 400.0000000    0.1842176
 500.0000000    0.1763320
 600.0000000    0.1759855
 700.0000000    0.1735914
 800.0000000    0.2139096
 900.0000000    0.2049223
1000.0000000    0.2422160
1100.0000000    0.2921157
1200.0000000    0.2326248
1300.0000000    0.1856979
1400.0000000    0.1874781
1500.0000000    0.2021780
1600.0000000    0.2914984
1700.0000000    0.2049013
1800.0000000    0.2301310
1900.0000000    0.1712274
2000.0000000    0.2687057
2100.0000000    0.2424429
2200.0000000    0.2234914
2300.0000000    0.2121377
2400.0000000    0.1768027
2500.0000000    0.2265845
2600.0000000    0.2672253
2700.0000000    0.2199700
2800.0000000    0.2902739
2900.0000000    0.1983822
3000.0000000    0.1674778
3100.0000000    0.2250368
3200.0000000    0.2228377
3300.0000000    0.2332852
3400.0000000    0.2253640
3500.0000000    0.1907093
3600.0000000    0.2230257
3700.0000000    0.1699881
3800.0000000    0.2149044
3900.0000000    0.1959815
4000.0000000    0.2356056
4100.0000000    0.2384892
4200.0000000    0.2448076
4300.0000000    0.1898671
4400.0000000    0.2162036
4500.0000000    0.2558505
4600.0000000    0.2589424
4700.0000000    0.2115404
4800.0000000    0.2180284
4900.0000000    0.2003263
5000.0000000    0.2326419
5100.0000000    0.2162178
5200.0000000    0.2010613
5300.0000000    0.1844103
5400.0000000    0.2306450
5500.0000000    0.1689339
5600.0000000    0.1619064
5700.0000000    0.2384857
5800.0000000    0.1820293
5900.0000000    0.2265573
6000.0000000    0.2457315
6100.0000000    0.2250604
6200.0000000    0.1710720
6300.0000000    0.2457400
6400.0000000    0.2189395
6500.0000000    0.1942838
6600.0000000    0.2231533
6700.0000000    0.2081587
6800.0000000    0.2343371
6900.0000000    0.2361493
7000.0000000    0.2573356
7100.0000000    0.1828061
7200.0000000    0.2339341
7300.0000000    0.2383852
7400.0000000    0.2173803
7500.0000000    0.1840202
7600.0000000    0.2354133
7700.0000000    0.2316339
7800.0000000    0.2328698
7900.0000000    0.2871350
8000.0000000    0.1980705
8100.0000000    0.2792912
8200.0000000    0.2949837
8300.0000000    0.2456875
8400.0000000    0.2661324
8500.0000000    0.2710417
8600.0000000    0.2939206
8700.0000000    0.2251031
8800.0000000    0.2401664
8900.0000000    0.2484830
9000.0000000    0.2241673
9100.0000000    0.2660591
9200.0000000    0.2271319
9300.0000000    0.2364021
9400.0000000    0.2307883
9500.0000000    0.2472511
9600.0000000    0.2251869
9700.0000000    0.2091181
9800.0000000    0.3026117
9900.0000000    0.2438149
10000.0000000    0.2088106
10100.0000000    0.1881805
10200.0000000    0.2473872
10300.0000000    0.1853030
10400.0000000    0.2379595
10500.0000000    0.2033568
10600.0000000    0.2592677
10700.0000000    0.2238217
10800.0000000    0.2027241
10900.0000000    0.2339259
11000.0000000    0.2332985
11100.0000000    0.2965517
11200.0000000    0.2153887
11300.0000000    0.2473203
11400.0000000    0.2333145
11500.0000000    0.2729506
11600.0000000    0.2358891
11700.0000000    0.2247718
11800.0000000    0.2577241
11900.0000000    0.2531897
12000.0000000    0.1790065
12100.0000000    0.2166530
12200.0000000    0.2323800
12300.0000000    0.2094624
12400.0000000    0.2206821
12500.0000000    0.2145461
12600.0000000    0.1935656
12700.0000000    0.2450942
12800.0000000    0.2457159
12900.0000000    0.2523037
13000.0000000    0.1731506
13100.0000000    0.2267228
13200.0000000    0.2234048
13300.0000000    0.1807211
13400.0000000    0.2001519
13500.0000000    0.1805818
13600.0000000    0.1810531
13700.0000000    0.1749477
13800.0000000    0.2217995
13900.0000000    0.2504569
14000.0000000    0.1971232
14100.0000000    0.2150593
14200.0000000    0.1732537
14300.0000000    0.2296500
14400.0000000    0.1701586
14500.0000000    0.2208778
14600.0000000    0.2530229
14700.0000000    0.2146016
14800.0000000    0.2450802
14900.0000000    0.2392564
15000.0000000    0.1974327
15100.0000000    0.2173847
15200.0000000    0.2771724
15300.0000000    0.1894315
15400.0000000    0.1884474
15500.0000000    0.2475604
15600.0000000    0.1894202
15700.0000000    0.2151775
15800.0000000    0.1922385
15900.0000000    0.2219951
16000.0000000    0.2035038
16100.0000000    0.2030945
16200.0000000    0.1696507
16300.0000000    0.2231980
16400.0000000    0.2332450
16500.0000000    0.2421598
16600.0000000    0.2611217
16700.0000000    0.2171376
16800.0000000    0.1842519
16900.0000000    0.2038306
17000.0000000    0.2277276
17100.0000000    0.2008532
17200.0000000    0.2083764
17300.0000000    0.3002195
17400.0000000    0.1846439
17500.0000000    0.1780885
17600.0000000    0.2338572
17700.0000000    0.2518854
17800.0000000    0.2649480
17900.0000000    0.1959156
18000.0000000    0.2105945
18100.0000000    0.2585870
