@    title "RMSD"
@    xaxis  label "Time (ps)"
@    yaxis  label "RMSD (nm)"
   0.0000000    0.0213428
 100.0000000    0.1260469
 200.0000000    0.1617281
 300.0000000    0.1654758
 400.0000000    0.1984988
 500.0000000    0.1548607
 600.0000000    0.2222596
 700.0000000    0.2336778
 800.0000000    0.1691527
 900.0000000    0.1821025
1000.0000000    0.1439256
1100.0000000    0.1959899
1200.0000000    0.1255799
1300.0000000    0.2363038
1400.0000000    0.1770256
1500.0000000    0.1332804
1600.0000000    0.1723307
1700.0000000    0.1764726
1800.0000000    0.1428187
1900.0000000    0.1839927
2000.0000000    0.1751601
2100.0000000    0.1902733
2200.0000000    0.1779024
2300.0000000    0.2478479
2400.0000000    0.2265695
2500.0000000    0.1948652
2600.0000000    0.1869911
2700.0000000    0.1632582
2800.0000000    0.1506393
2900.0000000    0.1955450
3000.0000000    0.1775777
3100.0000000    0.1494125
3200.0000000    0.2129997
3300.0000000    0.2539681
3400.0000000    0.1806912
3500.0000000    0.2004304
3600.0000000    0.2016421
3700.0000000    0.2747048
3800.0000000    0.1842851
3900.0000000    0.2275923
4000.0000000    0.1903027
4100.0000000    0.1948906
4200.0000000    0.2116816
4300.0000000    0.1769892
4400.0000000    0.1858807
4500.0000000    0.2064388
4600.0000000    0.1944099
4700.0000000    0.1558116
4800.0000000    0.1519986
4900.0000000    0.1592451
5000.0000000    0.2083865
5100.0000000    0.1441686
5200.0000000    0.1416437
5300.0000000    0.2205948
5400.0000000    0.2416657
5500.0000000    0.2012492
5600.0000000    0.2013392
5700.0000000    0.1850443
5800.0000000    0.1661362
5900.0000000    0.1989794
6000.0000000    0.2026655
6100.0000000    0.2237076
6200.0000000    0.2376523
6300.0000000    0.1993594
6400.0000000    0.1800071
6500.0000000    0.1927666
6600.0000000    0.2277406
6700.0000000    0.1845341
6800.0000000    0.1612867
6900.0000000    0.1705215
7000.0000000    0.1809915
7100.0000000    0.2035160
7200.0000000    0.1579295
7300.0000000    0.1723924
7400.0000000    0.2057836
7500.0000000    0.1819650
7600.0000000    0.1649780
7700.0000000    0.1828462
7800.0000000    0.2193752
7900.0000000    0.2018728
8000.0000000    0.1694209
8100.0000000    0.2017066
8200.0000000    0.1879977
8300.0000000    0.1761149
8400.0000000    0.1767917
8500.0000000    0.1969913
8600.0000000    0.2254457
8700.0000000    0.2330936
8800.0000000    0.2345777
8900.0000000    0.1801977
9000.0000000    0.1909516
9100.0000000    0.1624363
9200.0000000    0.1674305
9300.0000000    0.1957261
9400.0000000    0.2263300
9500.0000000    0.2018848
9600.0000000    0.1842009
9700.0000000    0.2643000
9800.0000000    0.2206303
9900.0000000    0.2659975
10000.0000000    0.2218912
10100.0000000    0.1725139
10200.0000000    0.1964408
10300.0000000    0.1856539
10400.0000000    0.1788777
10500.0000000    0.1867486
10600.0000000    0.1980523
10700.0000000    0.2341137
10800.0000000    0.2142183
10900.0000000    0.1766479
11000.0000000    0.2014467
11100.0000000    0.1817023
11200.0000000    0.1605945
11300.0000000    0.1891974
11400.0000000    0.2168228
11500.0000000    0.1625893
11600.0000000    0.1757140
11700.0000000    0.2011983
11800.0000000    0.1634296
11900.0000000    0.1688191
12000.0000000    0.2183478
12100.0000000    0.2195157
12200.0000000    0.2172393
12300.0000000    0.2030284
12400.0000000    0.1261175
12500.0000000    0.1974499
12600.0000000    0.2051528
12700.0000000    0.2235070
12800.0000000    0.1999104
12900.0000000    0.2612122
13000.0000000    0.2162150
13100.0000000    0.1779888
13200.0000000    0.1786701
13300.0000000    0.2106515
13400.0000000    0.1970273
13500.0000000    0.2008867
13600.0000000    0.1570061
13700.0000000    0.1407824
13800.0000000    0.1792655
13900.0000000    0.2026364
14000.0000000    0.1824928
14100.0000000    0.1947160
14200.0000000    0.2463984
14300.0000000    0.1634618
14400.0000000    0.1946841
14500.0000000    0.1961110
14600.0000000    0.1656711
14700.0000000    0.1994360
14800.0000000    0.1612361
14900.0000000    0.1790182
15000.0000000    0.1953770
15100.0000000    0.1840311
15200.0000000    0.1584431
15300.0000000    0.1442109
15400.0000000    0.1629214
15500.0000000    0.1796822
15600.0000000    0.1318872
15700.0000000    0.1982723
15800.0000000    0.2406258
15900.0000000    0.2001897
16000.0000000    0.1650823
16100.0000000    0.1331036
16200.0000000    0.1668135
16300.0000000    0.1802534
16400.0000000    0.1845452
16500.0000000    0.1533635
16600.0000000    0.2106049
16700.0000000    0.1802346
16800.0000000    0.1466659
16900.0000000    0.1453155
17000.0000000    0.1534898
17100.0000000    0.2249320
17200.0000000    0.1285588
17300.0000000    0.1840053
17400.0000000    0.1694333
17500.0000000    0.1660666
17600.0000000    0.2025051
17700.0000000    0.1373305
17800.0000000    0.1452660
17900.0000000    0.2430114
18000.0000000    0.2286188
18100.0000000    0.2130064
